@relation tae-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute native-English-speaker {1,2}
@attribute Course-instructor {'\'All\''}
@attribute Course {'\'All\''}
@attribute Summer-or-regular-semester {1,2}
@attribute Class-size {'\'All\''}
@attribute Class {1,2,3}

@data
1,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',1,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',1,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
1,'\'All\'','\'All\'',1,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
1,'\'All\'','\'All\'',1,'\'All\'',3
1,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',1,'\'All\'',3
1,'\'All\'','\'All\'',1,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',2
1,'\'All\'','\'All\'',2,'\'All\'',2
1,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
1,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',1,'\'All\'',2
1,'\'All\'','\'All\'',1,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
1,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',1
1,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
1,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
1,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
1,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
